Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
0,0,0,0,15,695.4,0.014285714,0.028571429,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE
2,64,0,0,19,371.2272727,0.001666667,0.029166667,0,0,Mar,2,4,9,10,Returning_Visitor,FALSE
0,0,0,0,2,56,0,0.1,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE
1,19.66666667,0,0,14,512.1111111,0.028571429,0.03,0,0,Mar,3,2,3,9,Returning_Visitor,TRUE
0,0,0,0,8,128.5,0,0.025,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
5,175.2307692,0,0,20,2224.85,0.004347826,0.023913043,0,0,Mar,4,2,8,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,2,1,Returning_Visitor,FALSE
2,41.5,2,60.5,21,534.5,0.004347826,0.02173913,0,0,Mar,2,2,2,13,Returning_Visitor,TRUE
3,12,1,24,3,5.333333333,0.033333333,0.083333333,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE
2,44,0,0,26,1636.016667,0.007692308,0.021794872,0,0,Mar,2,6,1,1,Returning_Visitor,FALSE
7,159.3333333,0,0,24,520.6666667,0,0.006666667,0,0,Mar,2,10,4,3,New_Visitor,TRUE
3,16.33333333,0,0,23,505.5833333,0.008,0.03,9.15008,0,Mar,4,1,1,2,Returning_Visitor,FALSE
0,0,0,0,8,142,0,0.05,0,0,Mar,2,7,2,3,Returning_Visitor,FALSE
3,281,0,0,6,145,0,0.025,0,0,Mar,3,2,8,8,New_Visitor,FALSE
1,0,0,0,17,684.9166667,0.015686275,0.049411765,0,0,Mar,2,6,4,1,Returning_Visitor,TRUE
0,0,0,0,8,186.5,0,0.025,0,0,Mar,2,2,3,3,Returning_Visitor,TRUE
0,0,0,0,4,1111,0,0.05,0,0,Mar,4,5,1,1,Returning_Visitor,FALSE
2,115,0,0,5,36,0,0.033333333,0,0,Mar,1,1,3,11,Returning_Visitor,FALSE
0,0,0,0,7,182,0.028571429,0.071428571,0,0,Mar,3,2,1,13,Returning_Visitor,TRUE
4,81.5,0,0,12,223.5833333,0,0.002666667,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE
7,201.5,0,0,17,750.1666667,0,0.005555556,0,0,Mar,3,2,4,2,Returning_Visitor,FALSE
0,0,0,0,2,13,0.1,0.1,0,0,Mar,1,1,2,1,Returning_Visitor,TRUE
5,179.5,0,0,36,1792.8,0,0.004390244,0,0,Mar,2,2,3,10,Returning_Visitor,FALSE
9,311.9166667,0,0,40,633.4,0.002272727,0.017954545,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,24,778.1666667,0,0.0125,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,12,402.1666667,0.041666667,0.065,0,0,Mar,3,2,2,1,Returning_Visitor,FALSE
3,35,0,0,16,352,0,0.011764706,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE
0,0,0,0,15,751.8,0.026666667,0.04,0,0,Mar,1,2,2,1,Returning_Visitor,FALSE
0,0,0,0,3,52,0,0.066666667,0,0,Mar,2,5,8,3,Returning_Visitor,TRUE
3,150,0,0,12,271.3333333,0,0.014285714,0,0,Mar,1,1,4,2,New_Visitor,FALSE
0,0,0,0,2,11,0,0.1,0,0,Mar,4,2,2,10,Returning_Visitor,FALSE
2,47,0,0,17,411.625,0,0.023529412,0,0,Mar,2,2,4,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
11,247.3333333,2,369,90,7221,0.001030928,0.003917526,13.46406308,0,Mar,2,2,3,8,Returning_Visitor,FALSE
5,267.5,0,0,5,62.5,0.022222222,0.044444444,0,0,Mar,2,2,2,3,New_Visitor,TRUE
0,0,0,0,8,157.5714286,0,0.025,0,0,Mar,3,2,2,3,Returning_Visitor,FALSE
0,0,0,0,9,329,0.022222222,0.044444444,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
3,26,0,0,19,576.0833333,0.009090909,0.018181818,30.65045455,0,Mar,2,2,2,1,Returning_Visitor,TRUE
1,123,0,0,7,181.5,0,0.025,64.7325,0,Mar,2,2,1,2,New_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE
0,0,0,0,1,36,0,0.066666667,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE
4,177.1666667,0,0,50,1188.566667,0.007843137,0.018300654,0,0,Mar,2,2,3,3,Returning_Visitor,FALSE
0,0,1,36.33333333,38,1663.683333,0.005405405,0.022972973,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,21,1003,0,0.008333333,0,0,Mar,2,4,1,1,Returning_Visitor,FALSE
0,0,0,0,37,1229.766667,0.005405405,0.014414414,0,0,Mar,2,2,1,3,Returning_Visitor,TRUE
5,159,0,0,17,438.4333333,0.003030303,0.027272727,0,0,Mar,1,1,3,3,Returning_Visitor,FALSE
10,231,1,8,104,3486.690476,0.003301887,0.013104972,0,0,Mar,2,10,1,1,Returning_Visitor,TRUE
3,80.42857143,0,0,61,5900.351378,0,0.007213115,0,0,Mar,3,2,3,10,Returning_Visitor,FALSE
1,19,0,0,13,748.6666667,0,0.020512821,0,0,Mar,1,2,6,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,1,9,Returning_Visitor,TRUE
0,0,1,37,15,497.3333333,0.0125,0.0375,0,0,Mar,1,1,2,1,Returning_Visitor,FALSE
1,0,0,0,8,192.1666667,0,0.025,0,0,Mar,1,1,9,9,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,3,79.5,0,0.033333333,0,0,Mar,3,2,2,2,Returning_Visitor,FALSE
3,39,0,0,30,940.8333333,0.012121212,0.024242424,0,0,Mar,1,8,3,3,Returning_Visitor,FALSE
0,0,0,0,12,468,0.016666667,0.033333333,0,0,Mar,4,1,4,3,Returning_Visitor,FALSE
4,84,0,0,35,1059,0,0.005882353,0,0,Mar,2,2,3,2,New_Visitor,FALSE
11,281.6309524,0,0,54,923.6757353,0,0.012261867,5.150663602,0,Mar,1,1,7,2,Returning_Visitor,FALSE
0,0,0,0,26,648.4,0,0.018,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
3,31.33333333,0,0,33,1077.869048,0.0015625,0.01953125,0,0,Mar,3,2,6,2,Returning_Visitor,FALSE
1,42,2,80.5,46,838.6833333,0,0.015416667,0,0,Mar,2,2,1,10,Returning_Visitor,FALSE
5,36.33333333,3,53,22,406,0.002564103,0.013461538,0,0,Mar,4,1,1,1,Returning_Visitor,FALSE
0,0,0,0,6,546,0,0.04,35.49,0,Mar,2,2,3,1,Returning_Visitor,FALSE
0,0,0,0,18,1473.333333,0.011111111,0.044444444,0,0,Mar,1,1,1,2,Returning_Visitor,FALSE
5,487.5,0,0,11,500,0,0.015384615,0,0,Mar,1,8,1,11,New_Visitor,FALSE
5,376.8,3,105.6666667,6,441.4666667,0,0.003333333,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
6,136.5555556,0,0,59,3224.819084,0.002985075,0.011923715,8.567426866,0,Mar,2,4,2,2,Returning_Visitor,TRUE
0,0,0,0,11,419.75,0,0.006060606,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE
0,0,0,0,4,9,0.1,0.15,0,0,Mar,3,2,3,1,Returning_Visitor,FALSE
0,0,0,0,3,8,0,0.066666667,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE
3,960,0,0,10,1218,0,0.018181818,0,0,Mar,2,5,1,2,New_Visitor,FALSE
0,0,0,0,5,210,0.12,0.16,0,0,Mar,1,10,1,1,Returning_Visitor,FALSE
1,69,0,0,8,423,0,0.025,28.05094335,0,Mar,2,4,1,8,New_Visitor,FALSE
1,7,7,141,25,1644,0.002150538,0.018817204,0,0,Mar,2,4,1,10,Returning_Visitor,FALSE
0,0,0,0,8,158.5,0,0.05,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
0,0,0,0,24,854.3333333,0,0.008333333,0,0,Mar,4,1,1,10,Returning_Visitor,FALSE
0,0,0,0,10,300,0,0.05,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
1,22,0,0,21,678.2738095,0,0.012878788,0,0,Mar,3,2,1,2,New_Visitor,FALSE
0,0,0,0,4,34,0.1,0.15,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE
0,0,0,0,4,233,0.05,0.075,0,0,Mar,2,4,2,1,Returning_Visitor,FALSE
2,117,0,0,13,309.9333333,0,0.013333333,0,0,Mar,2,2,2,2,New_Visitor,FALSE
0,0,0,0,7,55,0.057142857,0.114285714,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
2,75,0,0,14,851,0,0.014285714,22.88908649,0,Mar,1,1,1,2,New_Visitor,TRUE
2,94,0,0,25,893.1,0,0.009615385,0,0,Mar,2,4,4,1,Returning_Visitor,FALSE
0,0,0,0,7,147.25,0.028571429,0.045714286,0,0,Mar,1,1,6,3,Returning_Visitor,FALSE
0,0,0,0,3,183,0,0.066666667,0,0,Mar,1,1,1,1,Returning_Visitor,TRUE
1,0,1,60.5,46,1038.916667,0.021276596,0.039007092,13.10326241,0,Mar,2,2,6,1,Returning_Visitor,FALSE
0,0,0,0,12,249.5,0.005555556,0.025,0,0,Mar,2,7,7,1,Returning_Visitor,FALSE
5,102.5333333,0,0,74,2396.690316,0.002699055,0.020349845,15.03328131,0,Mar,2,5,6,1,Returning_Visitor,FALSE
3,31.5,0,0,13,956.5,0,0.04,0,0,Mar,2,2,1,13,Returning_Visitor,FALSE
1,19,0,0,22,525.2666667,0,0.007709751,0,0,Mar,3,2,7,1,Returning_Visitor,FALSE
4,129.4166667,3,62,43,1770.625,0.004255319,0.015153664,0,0,Mar,2,5,6,2,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,7,1,Returning_Visitor,TRUE
24,876.2333333,5,625.5,34,1588.666667,0,0.013800705,0,0,Mar,2,2,5,2,Returning_Visitor,FALSE
1,95.5,0,0,7,381.5,0,0.025,0,0,Mar,1,1,3,2,Returning_Visitor,TRUE
4,52.33333333,1,239,14,337.5,0,0.011764706,0,0,Mar,2,5,1,2,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,1,3,Returning_Visitor,FALSE
0,0,0,0,13,449.6,0,0.015384615,0,0,Mar,3,2,1,10,Returning_Visitor,FALSE
2,6,0,0,42,1503.25,0.001550388,0.031007752,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE
1,47.5,0,0,15,1330.3,0,0.005128205,0,0,Mar,2,4,2,10,Returning_Visitor,FALSE
2,18,0,0,30,474.5,0,0.003225806,0,0,Mar,1,1,3,2,Returning_Visitor,TRUE
0,0,0,0,21,849.8833333,0.012698413,0.032063492,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE
0,0,0,0,4,538,0,0.075,0,0,Mar,1,1,4,3,Returning_Visitor,TRUE
0,0,0,0,3,190,0.033333333,0.1,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,5,218,0,0.04,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,7,362,0,0.028571429,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,9,381,0,0.025,0,0,Mar,2,2,6,2,New_Visitor,FALSE
1,41,0,0,43,1087.25,0,0.013636364,0,0,Mar,4,2,1,1,Returning_Visitor,FALSE
0,0,0,0,2,32,0,0.1,0,0,Mar,2,4,3,3,Returning_Visitor,FALSE
0,0,0,0,9,355.1666667,0,0.004166667,18.02533,0,Mar,2,4,1,2,Returning_Visitor,FALSE
0,0,0,0,8,143,0,0.0125,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
5,274.3333333,0,0,13,717.6,0,0.001960784,0,0,Mar,1,1,3,10,New_Visitor,FALSE
0,0,0,0,6,89.33333333,0,0.066666667,0,0,Mar,2,4,3,3,Returning_Visitor,FALSE
2,52,0,0,17,221.2,0,0.001754386,0,0,Mar,2,2,4,2,New_Visitor,FALSE
0,0,0,0,16,666.1,0,0.014285714,0,0,Mar,2,2,1,2,New_Visitor,FALSE
0,0,0,0,6,330,0.066666667,0.1,0,0,Mar,3,2,8,10,Returning_Visitor,FALSE
2,37,0,0,21,775.3333333,0,0.009090909,0,0,Mar,4,1,1,2,Returning_Visitor,TRUE
1,14,1,0,14,710.25,0,0.017777778,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
4,55.75,0,0,19,685.95,0,0.017724868,7.141428571,0,Mar,3,2,7,2,Returning_Visitor,TRUE
8,167,3,869,34,771.5916667,0.009090909,0.030876623,0,0,Mar,2,4,1,1,Returning_Visitor,FALSE
0,0,0,0,13,89,0.046153846,0.1,0,0,Mar,2,2,2,1,Returning_Visitor,FALSE
5,143.8333333,1,55,19,1762.5,0,0.013461538,31.54642738,0,Mar,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,7,232.6666667,0,0.014285714,0,0,Mar,2,2,6,2,Returning_Visitor,FALSE
1,40,0,0,15,839.5,0.01875,0.054166667,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,31,3888.166667,0.02,0.031111111,0,0,Mar,2,4,3,1,Returning_Visitor,FALSE
0,0,0,0,23,760.25,0,0.009090909,0,0,Mar,2,2,7,2,New_Visitor,FALSE
3,39.6,0,0,53,856.7522398,0,0.002272727,0,0,Mar,2,2,1,2,Returning_Visitor,TRUE
4,99.5,0,0,16,315.1666667,0,0.016666667,12.53314286,0,Mar,1,1,6,3,Returning_Visitor,FALSE
1,28,0,0,8,290,0,0.01,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE
0,0,0,0,8,233.6666667,0.025,0.0875,0,0,Mar,2,2,3,13,Returning_Visitor,FALSE
3,43,0,0,11,610,0,0.015384615,0,0,Mar,2,4,1,1,Returning_Visitor,FALSE
1,29,1,13.5,24,1005.849206,0,0.007986111,0,0,Mar,1,1,3,3,Returning_Visitor,FALSE
7,169.5,0,0,21,484.95,0.008695652,0.037681159,0,0,Mar,1,2,2,2,Returning_Visitor,FALSE
12,765.6666667,0,0,7,634.1666667,0.015384615,0.015384615,0,0,Mar,1,2,3,2,Returning_Visitor,FALSE
0,0,0,0,2,4,0,0.1,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
2,42,0,0,29,218,0,0.003225806,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
4,22.5,0,0,15,289.85,0,0.022222222,57.96417654,0,Mar,2,2,2,3,New_Visitor,TRUE
4,50.5,3,54,41,1490.552778,0,0.006589147,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,2,134,0,0.1,0,0,Mar,3,2,7,9,Returning_Visitor,TRUE
13,241.7666667,0,0,12,255.3,0.002,0.036666667,0,0,Mar,2,2,8,2,Returning_Visitor,FALSE
2,17,0,0,7,1093,0.0375,0.1125,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,4,1,1,Returning_Visitor,FALSE
3,96,0,0,6,384,0,0.025,0,0,Mar,3,2,1,2,New_Visitor,FALSE
4,35.125,0,0,31,1975.458333,0,0.01,0,0,Mar,2,2,3,3,New_Visitor,TRUE
5,243.6666667,1,415,20,1267.233333,0,0.01,91.98,0,Mar,1,1,3,1,Returning_Visitor,FALSE
2,26,0,0,22,285.9880952,0,0.0125,0,0,Mar,1,1,6,8,Returning_Visitor,FALSE
5,129.5,0,0,13,1507.333333,0.016666667,0.028125,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE
1,78,0,0,21,555.8944444,0,0.002380952,24.75047619,0,Mar,1,1,1,2,New_Visitor,FALSE
2,254,1,39,95,4990.959524,0.004123711,0.015307716,5.638103093,0,May,2,2,1,6,Returning_Visitor,FALSE
5,85.66666667,0,0,25,1194.5,0,0.007692308,11.51923077,0,May,2,2,1,2,New_Visitor,FALSE
3,61,0,0,79,2819.966667,0.006097561,0.024390244,0,0,May,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,5,252.5,0,0.02,0,0,May,2,2,2,2,Returning_Visitor,FALSE
0,0,0,0,4,0,0.2,0.2,0,0.6,May,3,2,4,3,Returning_Visitor,FALSE
7,89.5,0,0,26,1163.333333,0,0.009375,26.983125,0,May,3,2,3,4,New_Visitor,FALSE
3,430.8333333,1,262,49,2338.567766,0.023529412,0.028907563,9.609529412,0.6,May,3,2,4,4,Returning_Visitor,FALSE
1,7.5,0,0,19,216.1666667,0.038095238,0.058730159,0,0.6,May,2,5,1,3,Returning_Visitor,FALSE
9,357.25,3,115,45,2889.25,0,0.007,54.9759,0,May,2,2,1,4,Returning_Visitor,FALSE
0,0,0,0,16,748.4,0.014285714,0.035714286,43.19228571,0,May,2,2,3,4,Returning_Visitor,FALSE
1,0,0,0,19,867.8333333,0.015,0.028333333,0,0,May,2,2,7,6,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,May,1,8,7,4,Returning_Visitor,FALSE
0,0,0,0,30,986.5,0.006666667,0.023333333,0,0,May,2,4,3,3,Returning_Visitor,FALSE
6,86.2,0,0,49,3003.419048,0.010526316,0.015711501,4.376915789,0.4,May,1,1,4,4,Returning_Visitor,FALSE
0,0,0,0,2,205,0,0.05,0,0,May,3,2,1,13,Returning_Visitor,FALSE
2,36.5,0,0,11,295.9,0,0.014219114,0,0,May,3,2,9,4,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,6,1,Returning_Visitor,FALSE
0,0,0,0,14,258,0.164285714,0.173809524,0,0.6,May,3,2,6,13,Returning_Visitor,FALSE
0,0,0,0,43,1146.5,0.006976744,0.035271318,0,0.6,May,2,2,1,4,Returning_Visitor,FALSE
3,76.75,1,0,36,1100.916667,0.007692308,0.015262515,18.99269231,0,May,2,2,1,2,Returning_Visitor,FALSE
8,119,0,0,31,1273.875,0,0.003921569,12.63441176,0,May,2,4,1,3,New_Visitor,FALSE
0,0,0,0,13,0,0.2,0.2,0,0.8,May,3,2,2,6,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,1,1,Returning_Visitor,FALSE
0,0,0,0,2,59,0,0.1,0,0,May,1,2,1,6,Returning_Visitor,FALSE
7,145,0,0,7,96,0,0.013333333,0,0,May,2,2,1,4,New_Visitor,FALSE
0,0,0,0,9,265.6,0.022222222,0.048148148,0,0,May,2,4,3,4,Returning_Visitor,FALSE
0,0,0,0,6,1044,0,0.016666667,0,0,May,2,2,2,11,Returning_Visitor,FALSE
0,0,0,0,10,224,0,0.01,0,0.4,May,2,2,1,4,Returning_Visitor,FALSE
0,0,0,0,23,502.4666667,0,0.035507246,0,0.8,May,2,2,7,1,Returning_Visitor,FALSE
0,0,0,0,3,127,0,0.066666667,65.988,0,May,2,2,1,11,Returning_Visitor,FALSE
3,65.16666667,2,16,23,599.3333333,0.008333333,0.016666667,5.4945,0,May,1,8,2,11,Returning_Visitor,TRUE
9,281.75,2,144.5,116,7009.095996,0,0.011083789,4.947766276,0.8,May,6,2,2,3,Returning_Visitor,FALSE
0,0,0,0,42,2058.25,0.021138211,0.051219512,0,0.2,May,2,10,7,1,Returning_Visitor,FALSE
1,4.5,0,0,39,908.3333333,0,0.0125,33.6501,0,May,2,2,3,2,Returning_Visitor,FALSE
0,0,0,0,16,360,0,0.01875,0,0,May,2,2,2,1,Returning_Visitor,FALSE
3,45,0,0,10,579.3333333,0,0.022222222,0,0,May,1,1,2,5,New_Visitor,FALSE
5,70,0,0,61,2635.61627,0,0.003389831,0,0.6,May,1,8,1,3,Returning_Visitor,FALSE
2,90,0,0,22,650.6666667,0.026086957,0.045217391,0,0,May,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,16,462,0.0125,0.05,0,0,May,1,1,1,6,Returning_Visitor,FALSE
0,0,0,0,23,406,0.030434783,0.05942029,0,0.2,May,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,8,321,0,0.05,0,0.2,May,2,2,3,4,Returning_Visitor,FALSE
